Gastroenterology,Mohammad Shakfeh,"12598 Central Ave #101, Chino, CA 91710",909-606-4860,909-606-1653
Hospitals,Montclair hospital,"5000 San Bernardino St, Montclair, CA 91763",(909) 625-5411,833-714-0351
,Pomona Valley Hospital Medical Record,"1798 N Garey Ave, Pomona, CA 91767",(909) 865-9500,909-469-9364
OB-GYN,Duong T. Phung,"1226 N Park Ave, Pomona, CA 91768",(909) 620-1888,909-591-1744
Optometry,Pomona Valley Optometry (Dr. Lee),"1900 Royalty Dr #100, Pomona, CA 91767",909-469-4804,909-469-4807
Ophthalmology,Dai Tran,"1148 E Holt Ave, Pomona, CA 91767",909-622-2226,626-572-7327
Orthopaedic,Premier Orthopaedic & Trauma Specialists,"160 E Artesia St #255, Pomona, CA 91767",(909) 596-4346,909-596-4344
Physical Therapy,Rancho Physical Therapy,"11276 5th St #400, Rancho Cucamonga",(909) 481-0437,909-481-0837
Pulmonary,Inland Pulmonary Medical Group,"9655 Monte Vista Ave #402, Montclair, CA 91763",909-626-1205,909-625-1977
Radnet,Grove Diagnostic,"8283 Grove Ave Ste 101 & 102, Rancho Cucamonga, CA 91730",909-982-8638,909-920-0640
